TakeNr;In;Startzeit;Out;Endzeit;Typ;Marker1;Marker2;Bemerkung;Source;Text
101.0;01:07:00:06;00:07:00:06;01:07:09:15;00:07:09:15;A;;;;IT;MENGE (ATMER) (LAUTE)
;;00;;00;;;;;;
102.0;01:07:09:15;00:07:09:15;01:07:11:00;00:07:11:00;;;;;NARRATIVE TITLE;Und der Tag davor
;;00;;00;;;;;;
103.0;01:07:11:00;00:07:11:00;01:07:16:03;00:07:16:03;;;;;IT;CREWMEN (LAUTE) (LAUT)
;;00;;00;;;;;;
104.0;01:07:16:03;00:07:16:03;01:07:19:08;00:07:19:08;;;;;CREWMAN 2;(LAUT)
;;00;;00;;;;;;
104.0;01:07:16:03;00:07:16:03;01:07:19:08;00:07:19:08;;;;;FANG;(SCHREI)
;;00;;00;;;;;;
105.0;01:07:19:08;00:07:19:08;01:07:27:00;00:07:27:00;A;;;;IT;(RIECHEN)
;;00;;00;;;;;;
106.0;01:07:27:00;00:07:27:00;01:07:35:23;00:07:35:23;;;;;JIM;(ATMER) Täusch ich mich oder (Winz Zög) war die Sache mit der Hochzeit ein wenig überzogen?
;;00;;00;;;;;;
107.0;01:07:35:23;00:07:35:23;01:07:38:10;00:07:38:10;;;;;ARCHIE;(INS ON) Ähm... (ATMER) Keine Ahnung. (Winz Zög) 
;;00;;00;;;;;;
108.0;01:07:38:10;00:07:38:10;01:07:43:21;00:07:43:21;;;;;ARCHIE;Ich (Winz Zög) war noch (Winz Zög) nie so wirklich auf 'ner Hochzeit. Deswegen (ATMER) hab ich keinen Vergleich.
;;00;;00;;;;;;
109.0;01:07:43:21;00:07:43:21;01:07:49:11;00:07:49:11;;;;;FANG;(OFF) Ich hab Blackbeard noch nie so gesehen. (ON) (ANATMER) Er hat noch nicht mal mit der Wimper gezuckt, als Ivan getötet wurde.
;;00;;00;;;;;;
110.0;01:07:49:04;00:07:49:04;01:07:52:18;00:07:52:18;Ü;;;;FRENCHIE;Der Kuchen ist mega, oder? (2.F.: Der Kuchen ist fabelhaft, oder?) .. (OFF) Großartig. (Zög) Sehr gut. (Zög) 
;;00;;00;;;;;;
111.0;01:07:52:18;00:07:52:18;01:07:58:02;00:07:58:02;;;;;FRENCHIE;(ON) (ATMER) Na ja, ist meine Meinung. (SCHNIEFER)
;;00;;00;;;;;;
111.0;01:07:52:18;00:07:52:18;01:07:58:02;00:07:58:02;;;;;FRENCHIE;Ich meine, Buttercreme mag auch nicht (Zög) jeder. Nicht?
;;00;;00;;;;;;
112.0;01:07:58:02;00:07:58:02;01:08:00:15;00:08:00:15;;;;;JIM;Wie kannst du das alles so gut wegstecken?
;;00;;00;;;;;;
113.0;01:08:00:15;00:08:00:15;01:08:05:08;00:08:05:08;;;;;FRENCHIE;(LIPPENLAUT) (ANATMER) (LAUT) Ich hab da so 'n System, (Zög) wie ich mit schrecklichen Erfahrungen umgehe. 
;;00;;00;;;;;;
114.0;01:08:05:08;00:08:05:08;01:08:08:19;00:08:08:19;;;;;FRENCHIE;(ATMER) Ich hab 'ne Schachtel (Zög) in meinem Kopf. ..
;;00;;00;;;;;;
115.0;01:08:08:19;00:08:08:19;01:08:13:01;00:08:13:01;;;;;FRENCHIE;Und die Sachen werden in die Schachtel gepackt, .. (OFF) dann schließe ich die Schachtel ab .. 
;;00;;00;;;;;;
116.0;01:08:13:01;00:08:13:01;01:08:17:14;00:08:17:14;;;;;FRENCHIE;(ON) und öffne sie nie wieder. ..
;;00;;00;;;;;;
116.0;01:08:13:01;00:08:13:01;01:08:17:14;00:08:17:14;;;;;FRENCHIE;(OFF) Wirkt wie 'n Zauber.
;;00;;00;;;;;;
117.0;01:08:17:14;00:08:17:14;01:08:23:00;00:08:23:00;;;;;FANG;(WEINEN)
;;00;;00;;;;;;
118.0;01:08:19:08;00:08:19:08;01:08:24:19;00:08:24:19;Ü;;;;FRENCHIE;(ÜBERL) (INS ON) Oh. .. Ist ja gut. Ach, jehchen. Willst du... Willst du deinen Kuchen noch?
;;00;;00;;;;;;
119.0;01:08:24:19;00:08:24:19;01:08:31:20;00:08:31:20;;;;;FANG;(ATMER) (WIMMERN) (WEINEN)
;;00;;00;;;;;;
119.0;01:08:24:19;00:08:24:19;01:08:31:20;00:08:31:20;;;;;FRENCHIE;(überl) Nein? (Unverständl.) In Ordnung, ich ess' den.
;;00;;00;;;;;;
120.0;01:08:31:20;00:08:31:20;01:08:34:01;00:08:34:01;A;;;;IT;(Unverständl. Durcheinander für gesamte Szene IT/Archiv?)
;;00;;00;;;;;;
121.0;01:08:34:01;00:08:34:01;01:08:38:20;00:08:38:20;;;;;STEDE;(CONT) (REAKTION) .. (ON) Im Prinzip fehlen nur noch Hörner, oder? (Zög) Er kann unmöglich so aussehen.
;;00;;00;;;;;;
122.0;01:08:38:20;00:08:38:20;01:08:44:00;00:08:44:00;;;;;OLUWANDE;Er hatte viel zu tun, was? .. (LAUT) Hab noch nie gesehen, dass hinten auch was draufsteht.
;;00;;00;;;;;;
123.0;01:08:44:00;00:08:44:00;01:08:48:04;00:08:48:04;;;;;STEDE;Er musste nur 'n bisschen Dampf ablassen. Susan! (Zög) Zwei Suppen, bitte.       (Anm: Ich gehe davon aus, dass auf der Rückseite die Vorwürfe gegenüber Blackbeard erfasst wurden und Stede gleichzeitig die Entschuldigung bringt, warum die Vorwürfe so umfangreich sind.)
;;00;;00;;;;;;
124.0;01:08:48:04;00:08:48:04;01:08:54:00;00:08:54:00;;;;;OLUWANDE;Hey, Suse. (2.F.: Hey, Susan.)
;;00;;00;;;;;;
124.0;01:08:48:04;00:08:48:04;01:08:54:00;00:08:54:00;;;;;OLUWANDE;Captain, Sie wissen, dass wir nicht genug sparen werden für 'n Schiff nach ihren Vorstellungen.
;;00;;00;;;;;;
125.0;01:08:54:00;00:08:54:00;01:09:00:11;00:09:00:11;;;;;STEDE;Ja, mit der Einstellung ganz bestimmt nicht. .. Sue, wenn Sie so denken würden, hätten Sie dann diesen wunderbaren Suppen-Kiosk?
;;00;;00;;;;;;
126.0;01:09:00:11;00:09:00:11;01:09:06:22;00:09:06:22;;;;;SUSAN;Ja, vermutlich schon.
;;00;;00;;;;;;
126.0;01:09:00:11;00:09:00:11;01:09:06:22;00:09:06:22;;;;;STEDE;Sue hatte Beharrlichkeit .. und Mumm.
;;00;;00;;;;;;
126.0;01:09:00:11;00:09:00:11;01:09:06:22;00:09:06:22;;;;;SUSAN;(OFF) (überl) (Anatmer) Ich hab den Vorbesitzer umgebracht und mir den Kiosk gekrallt. (LEICHT INS ON) .. 
;;00;;00;;;;;;
127.0;01:09:06:22;00:09:06:22;01:09:13:03;00:09:13:03;;;;;SUSAN;Manchmal ist Handeln besser (Zög) als 'ne Vision.
;;00;;00;;;;;;
127.0;01:09:06:22;00:09:06:22;01:09:13:03;00:09:13:03;;;;;OLUWANDE;Ja, hab ich ihm auch gesagt.
;;00;;00;;;;;;
127.0;01:09:06:22;00:09:06:22;01:09:13:03;00:09:13:03;;;;;SUSAN;Tja, weil du der Schlaue bist.
;;00;;00;;;;;;
127.0;01:09:06:22;00:09:06:22;01:09:13:03;00:09:13:03;;;;;OLUWANDE;(LAUT)
;;00;;00;;;;;;
127.0;01:09:06:22;00:09:06:22;01:09:13:03;00:09:13:03;;;;;SUSAN;(KL LACHER)
;;00;;00;;;;;;
128.0;01:09:11:08;00:09:11:08;01:09:16:06;00:09:16:06;Ü;;;;STEDE;(ÜBERL) (SEUFZER) .. (CONT/ON) Wir können nicht mit einem alten Schiff ankommen. Wir müssen gut aussehen.
;;00;;00;;;;;;
129.0;01:09:16:06;00:09:16:06;01:09:19:07;00:09:19:07;;;;;OLUWANDE;Zögern Sie's hinaus, weil Sie glauben, dass Blackbeard Sie umbringt?
;;00;;00;;;;;;
130.0;01:09:19:07;00:09:19:07;01:09:22:18;00:09:22:18;;;;;STEDE;Was? .. Warum sollte er das machen?
;;00;;00;;;;;;
130.0;01:09:19:07;00:09:19:07;01:09:22:18;00:09:22:18;;;;;SUSAN;(INS ON) Na, weil der Typ 'n Irrer ist. (2.F.: Weil der Typ 'n Ding an der Waffel hat.)
;;00;;00;;;;;;
131.0;01:09:22:13;00:09:22:13;01:09:25:03;00:09:25:03;Ü;;;;OLUWANDE;Und Sie haben ihn verlassen.
;;00;;00;;;;;;
131.0;01:09:22:13;00:09:22:13;01:09:25:03;00:09:25:03;Ü;;;;STEDE;Ich hab ihn nicht verlassen.
;;00;;00;;;;;;
131.0;01:09:22:13;00:09:22:13;01:09:25:03;00:09:25:03;Ü;;;;OLUWANDE;(CONT) Sie haben ihn verlassen.
;;00;;00;;;;;;
132.0;01:09:24:20;00:09:24:20;01:09:28:22;00:09:28:22;Ü;;;;TANTE;(OFF) (LACHER) (ON) Er hat Sie verlassen.
;;00;;00;;;;;;
132.0;01:09:24:20;00:09:24:20;01:09:28:22;00:09:28:22;Ü;;;;SUSAN;(überl) (LACHER)
;;00;;00;;;;;;
133.0;01:09:28:02;00:09:28:02;01:09:30:10;00:09:30:10;Ü;;;;STEDE;Nein. (Zög) Wir machen eine Pause.
;;00;;00;;;;;;
134.0;01:09:29:19;00:09:29:19;01:09:32:23;00:09:32:23;Ü;;;;TANTE;(INS ON) Ha! (Zög) Eine Pause. .. Völliger Blödsinn.                          (Anm: Ich überlege weiter, ob dieses Wortspiel irgendwie zu retten ist.)
;;00;;00;;;;;;
135.0;01:09:32:23;00:09:32:23;01:09:36:12;00:09:36:12;;;;;STEDE;(INS ON) Es ist mir egal, was ihr alle sagt. (2.F.: ...was alle sagen.) .. Er ist eigentlich 'n guter Kerl.
;;00;;00;;;;;;
136.0;01:09:36:12;00:09:36:12;01:09:41:09;00:09:41:09;A;;;;;
;;00;;00;;;;;;
137.0;01:09:41:09;00:09:41:09;01:09:44:14;00:09:44:14;;;;;IZZY;Die Mannschaft (Winz Zög) sieht ein bisschen lädiert aus.
;;00;;00;;;;;;
138.0;01:09:44:14;00:09:44:14;01:09:46:05;00:09:46:05;A;;;;;
;;00;;00;;;;;;
139.0;01:09:46:05;00:09:46:05;01:09:48:05;00:09:48:05;;;;;BLACKBEARD;(CONT) Haben alle Kuchen bekommen?
;;00;;00;;;;;;
140.0;01:09:48:05;00:09:48:05;01:09:50:17;00:09:50:17;;;;;IZZY;Ja, alle.
;;00;;00;;;;;;
141.0;01:09:50:17;00:09:50:17;01:09:56:23;00:09:56:23;;;;;BLACKBEARD;Dann können sie (Zög) ein wenig Rhinozeros-Horn haben. .. (CONT) Ich hab grad 'n bisschen was (Winz Zög) frisch gemahlen. .. 
;;00;;00;;;;;;
142.0;01:09:56:23;00:09:56:23;01:10:00:18;00:10:00:18;;;;;BLACKBEARD;(Schniefer) Oh, fuck! .. Willst du auch?
;;00;;00;;;;;;
143.0;01:10:00:18;00:10:00:18;01:10:02:01;00:10:02:01;;;;;IZZY;Nein, grade nicht, nein.
;;00;;00;;;;;;
144.0;01:10:02:01;00:10:02:01;01:10:07:15;00:10:07:15;;;;;BLACKBEARD;(OFF) Na, dann (Zög) zurück an die Arbeit, du scheiß Leichtgewicht. (2.F.: ...scheiß Schwachmat.) Wenn du den Job nicht machen kannst, (Zög) macht ihn 'n anderer. (hinten in Hall)
;;00;;00;;;;;;
145.0;01:10:07:15;00:10:07:15;01:10:10:14;00:10:10:14;;;;;IZZY;(EVTL LIPPENLAUT) Los. .. Alles nach oben an Deck.
;;00;;00;;;;;;
146.0;01:10:10:14;00:10:10:14;01:10:13:21;00:10:13:21;;;;;FRENCHIE;Dann teilen wir (Zög) alles auf und nehmen uns unseren Anteil?
;;00;;00;;;;;;
147.0;01:10:13:21;00:10:13:21;01:10:18:08;00:10:18:08;;;;;IZZY;Nein, wir werfen alles über Bord. (AUSATMER) Wir haben (inzwischen) viel zu viel Beute. .. 
;;00;;00;;;;;;
148.0;01:10:18:08;00:10:18:08;01:10:21:08;00:10:21:08;;;;;IZZY;(CONT) Wir müssen was versenken, sonst kommen wir nicht zum nächsten Ziel.
;;00;;00;;;;;;
149.0;01:10:21:08;00:10:21:08;01:10:25:00;00:10:25:00;;;;;JIM;Wir sollen wirklich unsere Schätze wegwerfen, nur (Winz Zög) um neue zu stehlen?
;;00;;00;;;;;;
150.0;01:10:25:00;00:10:25:00;01:10:27:17;00:10:27:17;;;;;FRENCHIE;(INS ON) Ja, das (Winz Zög) ergibt definitiv keinen Sinn, Mann.
;;00;;00;;;;;;
151.0;01:10:27:01;00:10:27:01;01:10:32:17;00:10:32:17;Ü;;;;IZZY;Es steht euch überhaupt nicht zu, mir zu sagen, was Sinn ergibt und was nicht. .. 
;;00;;00;;;;;;
152.0;01:10:32:17;00:10:32:17;01:10:38:14;00:10:38:14;;;;;IZZY;Eure Aufgabe ist es, mei- (Atmer)  .. meinen scheiß Befehlen zu folgen. (Atmer)
;;00;;00;;;;;;
153.0;01:10:38:14;00:10:38:14;01:10:40:23;00:10:40:23;A;;;;;
;;00;;00;;;;;;
154.0;01:10:40:23;00:10:40:23;01:10:46:11;00:10:46:11;;;;;FANG;Hey, wie geht's, Izzy? .. Hä?
;;00;;00;;;;;;
154.0;01:10:40:23;00:10:40:23;01:10:46:11;00:10:46:11;;;;;IZZY;Es geht mir... Hand weg. (Zög) Nimm die Hand weg.
;;00;;00;;;;;;
154.0;01:10:40:23;00:10:40:23;01:10:46:11;00:10:46:11;;;;;FANG;(ÜBERL) (LAUTE) Ich hab das Gefühl, das stimmt nicht.
;;00;;00;;;;;;
155.0;01:10:46:11;00:10:46:11;01:10:51:20;00:10:51:20;;;;;JIM;Ja, wir denken, du stehst in einem ungesunden Verhältnis zu, zu Blackbeard.
;;00;;00;;;;;;
156.0;01:10:51:17;00:10:51:17;01:10:54:17;00:10:54:17;Ü;;;;ARCHIE;Oh, ja. .. Oh, ja. .. Ja, der zieht sich ganz schön viel Rhinohorn rein.
;;00;;00;;;;;;
157.0;01:10:54:17;00:10:54:17;01:10:59:03;00:10:59:03;;;;;FRENCHIE;Ja, er hat dir mindestens zwei weitere Zehen abgetrennt. Das wirkt (Zög) ganz schön toxisch auf mich, Mann.
;;00;;00;;;;;;
158.0;01:10:57:04;00:10:57:04;01:11:04:10;00:11:04:10;Ü;;;;IZZY;(ATMER) (WEINEN) (Laute)
;;00;;00;;;;;;
159.0;01:11:00:14;00:11:00:14;01:11:06:22;00:11:06:22;Ü;;;;FANG;(ÜBERL) (LAUTE) Hey, hey, hey, Izzy. Hey, Iz... Schschsch...
;;00;;00;;;;;;
159.0;01:11:00:14;00:11:00:14;01:11:06:22;00:11:06:22;Ü;;;;FRENCHIE;(ÜBERL) Hey, hey, hey, hey.
;;00;;00;;;;;;
160.0;01:11:04:22;00:11:04:22;01:11:10:18;00:11:10:18;Ü;;;;IZZY;(ÜBERL) (LAUTE)
;;00;;00;;;;;;
161.0;01:11:06:22;00:11:06:22;01:11:10:17;00:11:10:17;Ü;;;;FANG;Schsch. Alles gut. .. Schsch. Alles gut, alles gut.
;;00;;00;;;;;;
162.0;01:11:10:17;00:11:10:17;01:11:15:24;00:11:15:24;;;;;FANG;Drück, drück ich zu fest? .. Na, bitte. .. Schsch...
;;00;;00;;;;;;
163.0;01:11:13:18;00:11:13:18;01:11:18:01;00:11:18:01;Ü;;;;IZZY;(ÜBERL) (WIMMERN)
;;00;;00;;;;;;
164.0;01:11:15:24;00:11:15:24;01:11:18:02;00:11:18:02;Ü;;;;FANG;(ÜBERL) Ist ja gut. .. Alles fein.
;;00;;00;;;;;;
165.0;01:11:18:02;00:11:18:02;01:11:23:24;00:11:23:24;;;;;STEDE;(INS ON) Hey, ähm, (ATMER) Leute. .. Ich will niemanden beunruhigen, .. aber habt ihr das Glas gesehen?
;;00;;00;;;;;;
166.0;01:11:22:23;00:11:22:23;01:11:27:14;00:11:27:14;Ü;;;;ROACH;(RAUCHEN) Das mit unseren Ersparnissen?
;;00;;00;;;;;;
166.0;01:11:22:23;00:11:22:23;01:11:27:14;00:11:27:14;Ü;;;;STEDE;Ja.
;;00;;00;;;;;;
166.0;01:11:22:23;00:11:22:23;01:11:27:14;00:11:27:14;Ü;;;;BLACK PETE;Nein.
;;00;;00;;;;;;
167.0;01:11:27:14;00:11:27:14;01:11:33:17;00:11:33:17;;;;;SPANISH JACKIE;(OFF) Dieses Glas (hier)?... (OFF) Wie ich sehe, habt ihr mir was vorenthalten.
;;00;;00;;;;;;
168.0;01:11:33:17;00:11:33:17;01:11:36:09;00:11:36:09;;;;;STEDE;Jackie, das ist unser Geld. Das haben wir verdient.
;;00;;00;;;;;;
169.0;01:11:36:09;00:11:36:09;01:11:42:14;00:11:42:14;;;;;SPANISH JACKIE;(REAKTION) Weißt du, ich hatte dich als bankrotten Wichser auf dem Zettel. .. (ANATMER) Jetzt kommt dazu, dass du leichtfertig und undankbar bist. (INS OFF)
;;00;;00;;;;;;
170.0;01:11:42:14;00:11:42:14;01:11:46:21;00:11:46:21;;;;;SCHWEDE;Das erhöht die Gebühren.
;;00;;00;;;;;;
170.0;01:11:42:14;00:11:42:14;01:11:46:21;00:11:46:21;;;;;SPANISH JACKIE;(überl) Oh ja, und wie. .. Kost und Logis.
;;00;;00;;;;;;
171.0;01:11:46:21;00:11:46:21;01:11:53:21;00:11:53:21;;;;;STEDE;(LAUT)
;;00;;00;;;;;;
171.0;01:11:46:21;00:11:46:21;01:11:53:21;00:11:53:21;;;;;SPANISH JACKIE;Und ich glaube sogar, sie haben die Vista Suite.
;;00;;00;;;;;;
171.0;01:11:46:21;00:11:46:21;01:11:53:21;00:11:53:21;;;;;STEDE;Vista Suite?
;;00;;00;;;;;;
171.0;01:11:46:21;00:11:46:21;01:11:53:21;00:11:53:21;;;;;SPANISH JACKIE;Das Zimmer mit Fenster.
;;00;;00;;;;;;
171.0;01:11:46:21;00:11:46:21;01:11:53:21;00:11:53:21;;;;;STEDE;Oh.
;;00;;00;;;;;;
171.0;01:11:46:21;00:11:46:21;01:11:53:21;00:11:53:21;;;;;ROACH;(ÜBERL) (EVTL) (REAKTION)
;;00;;00;;;;;;
172.0;01:11:53:21;00:11:53:21;01:11:59:23;00:11:59:23;;;;;SPANISH JACKIE;Halb sauberes Wasser.
;;00;;00;;;;;;
172.0;01:11:53:21;00:11:53:21;01:11:59:23;00:11:59:23;;;;;STEDE;(EVTL LAUT) Kommen Sie.
;;00;;00;;;;;;
172.0;01:11:53:21;00:11:53:21;01:11:59:23;00:11:59:23;;;;;SPANISH JACKIE;Fällt dir noch was anderes ein, Mausezahn?
;;00;;00;;;;;;
173.0;01:11:59:23;00:11:59:23;01:12:03:20;00:12:03:20;;;;;SCHWEDE;Vielleicht (Winz Zög) Gebühren für Aus- und Weiterbildung?
;;00;;00;;;;;;
173.0;01:11:59:23;00:11:59:23;01:12:03:20;00:12:03:20;;;;;SPANISH JACKIE;Absolut. Ja.
;;00;;00;;;;;;
174.0;01:12:03:11;00:12:03:11;01:12:05:13;00:12:05:13;Ü;;;;WEE JOHN FEENEY;Oh Mann, im Ernst?
;;00;;00;;;;;;
174.0;01:12:03:11;00:12:03:11;01:12:05:13;00:12:05:13;Ü;;;;ROACH;Kommen Sie!
;;00;;00;;;;;;
174.0;01:12:03:11;00:12:03:11;01:12:05:13;00:12:05:13;Ü;;;;STEDE;(ÜBERL) Schwede...
;;00;;00;;;;;;
175.0;01:12:05:09;00:12:05:09;01:12:07:13;00:12:07:13;Ü;;;;SPANISH JACKIE;Ihr schuldet mir was.
;;00;;00;;;;;;
176.0;01:12:07:13;00:12:07:13;01:12:12:01;00:12:12:01;;;;;STEDE;(OFF) Ach, ja? .. (ON) Was, wenn wir .. es wieder an uns nehmen würden?
;;00;;00;;;;;;
177.0;01:12:12:01;00:12:12:01;01:12:17:10;00:12:17:10;;;;;SPANISH JACKIE;(REAKTION) Ich glaub, meine Ehemänner hätten ein Problem damit.
;;00;;00;;;;;;
177.0;01:12:12:01;00:12:12:01;01:12:17:10;00:12:17:10;;;;;IT;(RÄUSPERN)
;;00;;00;;;;;;
178.0;01:12:17:10;00:12:17:10;01:12:22:13;00:12:22:13;;;;;SPANISH JACKIE;(OFF) Kennt ihr schon alle 20?
;;00;;00;;;;;;
178.0;01:12:17:10;00:12:17:10;01:12:22:13;00:12:22:13;;;;;IT;(ATMER) (RÄUSPERER)
;;00;;00;;;;;;
179.0;01:12:22:13;00:12:22:13;01:12:24:12;00:12:24:12;;;;;BLACK PETE;Das sind viele Ehemänner.
;;00;;00;;;;;;
180.0;01:12:24:12;00:12:24:12;01:12:27:07;00:12:27:07;;;;;SCHWEDE;(INS ON) Den einen kenne ich. Wir haben zusammen gefrühstückt.
;;00;;00;;;;;;
181.0;01:12:27:07;00:12:27:07;01:12:32:06;00:12:32:06;;;;;SPANISH JACKIE;Ihr werdet noch sehr oft zusammen frühstücken. (Winz Zög) Verstanden?
;;00;;00;;;;;;
181.0;01:12:27:07;00:12:27:07;01:12:32:06;00:12:32:06;;;;;SCHWEDE;Oh, okay.
;;00;;00;;;;;;
182.0;01:12:32:06;00:12:32:06;01:12:36:13;00:12:36:13;;;;;STEDE;Also, 'n Tapetenwechsel hat immer was Gutes. .. Die Zeichen standen eh auf Stagnation.
;;00;;00;;;;;;
183.0;01:12:36:13;00:12:36:13;01:12:40:12;00:12:40:12;;;;;WEE JOHN FEENEY;Dann schlagen Sie vor, dass wir unter 'ner Brücke wohnen?
;;00;;00;;;;;;
183.0;01:12:36:13;00:12:36:13;01:12:40:12;00:12:40:12;;;;;ROACH;Wie soll ich hier irgendwas kochen?
;;00;;00;;;;;;
184.0;01:12:40:12;00:12:40:12;01:12:45:06;00:12:45:06;;;;;STEDE;(SEUFZER)
;;00;;00;;;;;;
184.0;01:12:40:12;00:12:40:12;01:12:45:06;00:12:45:06;;;;;OLUWANDE;Wenigstens haben wir 'n Dach. .. Frische Luft.
;;00;;00;;;;;;
185.0;01:12:45:06;00:12:45:06;01:12:50:08;00:12:50:08;;;;;ROACH;(LAUT)
;;00;;00;;;;;;
185.0;01:12:45:06;00:12:45:06;01:12:50:08;00:12:50:08;;;;;WEE JOHN FEENEY;(ÜBERL) Oh, Scheiße!
;;00;;00;;;;;;
185.0;01:12:45:06;00:12:45:06;01:12:50:08;00:12:50:08;;;;;BUTTONS;(EVTL) (LAUTE)
;;00;;00;;;;;;
185.0;01:12:45:06;00:12:45:06;01:12:50:08;00:12:50:08;;;;;STEDE;(ÜBERL) (LAUT)
;;00;;00;;;;;;
185.0;01:12:45:06;00:12:45:06;01:12:50:08;00:12:50:08;;;;;BLACK PETE;Oh, sogar .. fließend Wasser.
;;00;;00;;;;;;
186.0;01:12:50:08;00:12:50:08;01:12:54:03;00:12:54:03;;;;;STEDE;(OFF) Lieber Ed. (2.F.: Oh, Ed.) Es ist alles schrecklich. .. 
;;00;;00;;;;;;
187.0;01:12:54:03;00:12:54:03;01:12:58:07;00:12:58:07;;;;;STEDE;(ON) Ich fürchte, ich hab Angst, dich zu sehen. .. (CONT) Ich hab keine Angst, dass du mich umbringst. .. 
;;00;;00;;;;;;
188.0;01:12:58:07;00:12:58:07;01:13:02:12;00:13:02:12;;;;;STEDE;(ON) Ich hab Angst, dass dein, (ATMER) dass dein Leben ohne mich besser ist. ..
;;00;;00;;;;;;
189.0;01:13:02:12;00:13:02:12;01:13:05:15;00:13:05:15;A;;;;;
;;00;;00;;;;;;
190.0;01:13:05:15;00:13:05:15;01:13:08:24;00:13:08:24;;;;;STEDE; Schon möglich. ..
;;00;;00;;;;;;
190.0;01:13:05:15;00:13:05:15;01:13:08:24;00:13:08:24;;;;;STEDE;(CONT) Schon möglich, Kumpel.
;;00;;00;;;;;;
191.0;01:13:08:24;00:13:08:24;01:13:11:13;00:13:11:13;;;;;RICKY;(OFF) Ich weiß, wer Sie sind.
;;00;;00;;;;;;
192.0;01:13:11:13;00:13:11:13;01:13:15:13;00:13:15:13;;;;;STEDE;(OFF) Großer Gott. .. (ON) Kennen Sie nicht so was wie Privatsphäre?
;;00;;00;;;;;;
193.0;01:13:15:13;00:13:15:13;01:13:21:11;00:13:21:11;;;;;RICKY;Bitte verzeihen Sie mir, aber .. ich weiß wirklich alles über Sie. (Zög) (OFF) Über all ihre Abenteuer.
;;00;;00;;;;;;
193.0;01:13:15:13;00:13:15:13;01:13:21:11;00:13:21:11;;;;;STEDE;(ÜBERL) (SEUFZER)
;;00;;00;;;;;;
194.0;01:13:21:11;00:13:21:11;01:13:28:01;00:13:28:01;;;;;RICKY;Tut mir leid, wenn das ein bisschen unheimlich ist.
;;00;;00;;;;;;
194.0;01:13:21:11;00:13:21:11;01:13:28:01;00:13:28:01;;;;;STEDE;(CONT) Sie sind unheimlich. (2.F.: Ist es in der Tat.) .. (INS ON) Und was immer Sie verkaufen, ich will es nicht.
;;00;;00;;;;;;
195.0;01:13:28:01;00:13:28:01;01:13:31:12;00:13:31:12;;;;;RICKY;(Atmer) Aber der Gentleman-Pirat hat mir das Leben gerettet. ..
;;00;;00;;;;;;
196.0;01:13:31:12;00:13:31:12;01:13:37:03;00:13:37:03;;;;;RICKY;Ganz ehrlich. .. Sie sind mein Held.
;;00;;00;;;;;;
196.0;01:13:31:12;00:13:31:12;01:13:37:03;00:13:37:03;;;;;STEDE;(EVTL) (ATMER)
;;00;;00;;;;;;
197.0;01:13:37:03;00:13:37:03;01:13:39:06;00:13:39:06;A;;;;IT;(Allg. HG für gesamte Szene IT/Archiv?)
;;00;;00;;;;;;
198.0;01:13:39:06;00:13:39:06;01:13:46:08;00:13:46:08;;;;;RICKY;(INS ON) Sehen Sie, auch ich (Zög) stamme aus reichem Hause. .. (CONT) Ich bin sogar (Winz Zög) ein Prinz (2.F.: Zwergfürst) königlichen Geblüts. .. 
;;00;;00;;;;;;
199.0;01:13:46:08;00:13:46:08;01:13:50:07;00:13:50:07;;;;;RICKY;"Und ich war drauf und dran, alles zu beenden. Doch dann hörte ich von Ihnen. (Anm: Wortwörtlich ist ein Minor Prince"" ein Zwergfürst oder Duodezfürst. Ich habe allerdings Sorge, dass man das nicht versteht.)"""
;;00;;00;;;;;;
200.0;01:13:50:07;00:13:50:07;01:13:54:07;00:13:54:07;;;;;RICKY;(ON) (Anatmer) Sie gaben einem schrägen Vogel wie mir Hoffnung, Bonnet. .. 
;;00;;00;;;;;;
201.0;01:13:54:07;00:13:54:07;01:13:58:16;00:13:58:16;;;;;RICKY;Und ich könnte ein Leben führen nach (Zög) meinem Gutdünken. (ATMER)
;;00;;00;;;;;;
202.0;01:13:58:13;00:13:58:13;01:14:05:05;00:14:05:05;Ü;;;;STEDE;(ATMER) Okay. Kommen Sie raus aus dem Regen. .. 
;;00;;00;;;;;;
203.0;01:14:05:05;00:14:05:05;01:14:08:01;00:14:08:01;;;;;STEDE;(INS ON) Hören Sie. (Zög) Die Republik der Piraten ist kein Spiel. (2.F.: ...ist sehr gefährlich.)
;;00;;00;;;;;;
204.0;01:14:08:01;00:14:08:01;01:14:11:20;00:14:11:20;;;;;STEDE;(CONT) Sie täten gut daran, diesen Ort zu verlassen, bevor Sie Schaden nehmen.
;;00;;00;;;;;;
204.0;01:14:08:01;00:14:08:01;01:14:11:20;00:14:11:20;;;;;RICKY;(ÜBERL) (LAUT) .. (EVTL ATMER) (LAUT)
;;00;;00;;;;;;
205.0;01:14:11:16;00:14:11:16;01:14:18:06;00:14:18:06;Ü;;;;STEDE;Halten Sie sich von Spanish Jackie fern.
;;00;;00;;;;;;
205.0;01:14:11:16;00:14:11:16;01:14:18:06;00:14:18:06;Ü;;;;RICKY;Die haben mich aus ihrem Laden geworfen. .. Ja, ich war zu neugierig. (2.F.: Ja, ich war zu naseweis.) (KLEINER LACHER)
;;00;;00;;;;;;
206.0;01:14:18:06;00:14:18:06;01:14:23:03;00:14:23:03;;;;;STEDE;(CONT) Verstehe.
